Date,Open,High,Low,Close
2022-01-03 00:00:00,177.8300018,182.8800049,177.7100067,182.0099945
2022-01-04 00:00:00,182.6300049,182.9400024,179.1199951,179.6999969
2022-01-05 00:00:00,179.6100006,180.1699982,174.6399994,174.9199982
2022-01-06 00:00:00,172.6999969,175.3000031,171.6399994,172
2022-01-07 00:00:00,172.8899994,174.1399994,171.0299988,172.1699982
2022-01-10 00:00:00,169.0800018,172.5,168.1699982,172.1900024
2022-01-11 00:00:00,172.3200073,175.1799927,170.8200073,175.0800018
2022-01-12 00:00:00,176.1199951,177.1799927,174.8200073,175.5299988
2022-01-13 00:00:00,175.7799988,176.6199951,171.7899933,172.1900024
2022-01-14 00:00:00,171.3399963,173.7799988,171.0899963,173.0700073
2022-01-18 00:00:00,171.5099945,172.5399933,169.4100037,169.8000031
2022-01-19 00:00:00,170,171.0800018,165.9400024,166.2299957
2022-01-20 00:00:00,166.9799957,169.6799927,164.1799927,164.5099945
2022-01-21 00:00:00,164.4199982,166.3300018,162.3000031,162.4100037
2022-01-24 00:00:00,160.0200043,162.3000031,154.6999969,161.6199951
2022-01-25 00:00:00,158.9799957,162.7599945,157.0200043,159.7799988
2022-01-26 00:00:00,163.5,164.3899994,157.8200073,159.6900024
2022-01-27 00:00:00,162.4499969,163.8399963,158.2799988,159.2200012
2022-01-28 00:00:00,165.7100067,170.3500061,162.8000031,170.3300018
2022-01-31 00:00:00,170.1600037,175,169.5099945,174.7799988
2022-02-01 00:00:00,174.0099945,174.8399963,172.3099976,174.6100006
2022-02-02 00:00:00,174.75,175.8800049,173.3300018,175.8399963
2022-02-03 00:00:00,174.4799957,176.2400055,172.1199951,172.8999939
2022-02-04 00:00:00,171.6799927,174.1000061,170.6799927,172.3899994
2022-02-07 00:00:00,172.8600006,173.9499969,170.9499969,171.6600037
2022-02-08 00:00:00,171.7299957,175.3500061,171.4299927,174.8300018
2022-02-09 00:00:00,176.0500031,176.6499939,174.8999939,176.2799988
2022-02-10 00:00:00,174.1399994,175.4799957,171.5500031,172.1199951
